101,FMCC1,60,0,0
102,P1,45,0,0
103,LP1,80,0,0
104,IC,45,0,0
105,FMCC2,60,101,0
106,CALCULO1,60,101,0
107,P2,45,102,103
108,LP2,45,102,103
109,LINEAR,50,105,0
110,LOGICA,50,105,106
111,CALCULO2,50,105,106
112,EDA,45,107,108
113,LEDA,45,107,108
114,GRAFOS,45,0,0
115,PROB,50,105,106
116,PSOFT,50,102,103
117,PLP,40,102,103
118,BD1,40,112,0
119,OAC,50,104,0
120,LOAC,50,104,0
121,ESTATISTICA,50,115,0
122,AS,45,102,103
123,ES,45,102,103
124,REDES,40,104,0
125,SO,40,120,0
126,TC,40,117,0
127,METODOLOGIA,40,0,0
128,CONCORRENTE,40,125,0
129,IA,40,126,0
130,ATAL,45,112,113
131,COMPILA,45,117,0
